s,q1,dq1,d2q1,d3q1,q2,dq2,d2q2,d3q2,q3,dq3,d2q3,d3q3,q4,dq4,d2q4,d3q4,q5,dq5,d2q5,d3q5,q6,dq6,d2q6,d3q6
0,0.009,0.453678065291,-1.8852523391,-8.61253061829,-0.159,0.100374411849,-1.69918237021,-2.2804235434,0.209,-0.179010328259,-2.51247374609,2.89948263026,-0.009,-0.554179001712,-2.14726954945,9.58501755624,-0.091,-0.490767604713,-0.498451901653,8.67980969673,-0.009,-1.10098278331,1.25275520318,18.9586670902
0.025,0.0197309755436,0.403951117714,-2.08891768297,-7.65623232753,-0.157026974104,0.0572782189953,-1.74463280536,-1.34946668453,0.203748061459,-0.240769655228,-2.4224747636,4.2904535024,-0.0234998267125,-0.604752842336,-1.89431045882,10.6232269508,-0.103402240027,-0.50049921574,-0.27954251135,8.80805584636,-0.0360843831851,-1.06384830885,1.71332334994,17.8360369078
0.05,0.0291577155331,0.349446194901,-2.2669171882,-6.56242463833,-0.15614311032,0.0133400496094,-1.76642537102,-0.39089139313,0.196983844169,-0.299851284254,-2.29856452544,5.60786377394,-0.0391823597582,-0.648696553848,-1.61760969153,11.4813889866,-0.115979124481,-0.504733587196,-0.0592959076149,8.7867953774,-0.062099595169,-1.01558145864,2.14213434802,16.4228911435
0.075,0.0371691365252,0.290845861706,-2.41606247572,-5.35153145321,-0.156362005224,-0.0308419685431,-1.76410406779,0.576473701446,0.188784678858,-0.355433199762,-2.14291348018,6.82551962345,-0.0558749065561,-0.685474605536,-1.32187373919,12.1437666968,-0.128593193374,-0.503483919099,0.158564496355,8.61771111928,-0.0867779876931,-0.95706379224,2.53231014474,14.7509968537
0.1,0.0436721605842,0.228905725385,-2.53370940603,-4.04658533126,-0.157682208953,-0.0746642250878,-1.73768716707,1.53358868524,0.179247701498,-0.406755616929,-1.95832038578,7.91944719849,-0.0733928952885,-0.714673608448,-1.0121495902,12.5989080495,-0.141108473792,-0.496855633567,0.370397757006,8.30570326482,-0.109876014428,-0.889338301654,2.87783701371,12.8575944383
0.125,0.048593364805,0.164440067641,-2.61781684685,-2.67270217361,-0.160087236616,-0.117529504077,-1.68766700088,2.46164171636,0.16848810734,-0.453135936492,-1.74814976913,8.86844588471,-0.0915430235071,-0.736009459775,-0.693714235789,12.8398979838,-0.153392751364,-0.48504331872,0.572724426568,7.85876416872,-0.131177982987,-0.813586182601,3.17369147641,10.7845048706
0.15,0.0518802546754,0.0983061771826,-2.66699165673,-1.25650604379,-0.163545875418,-0.158858718763,-1.61499881402,3.3424829157,0.156637052025,-0.49398196975,-1.51625636006,9.65457497402,-0.110126550232,-0.749331657259,-0.371959218048,12.8645022203,-0.165319741008,-0.468325743826,0.762301521959,7.28777963993,-0.150499189271,-0.731100748576,3.41594251353,8.57712952569
0.175,0.053502133218,0.0313877415488,-2.68051880954,0.174481980792,-0.168012780552,-0.198102233483,-1.52107894697,4.15904228861,0.143839246905,-0.528803130216,-1.26689831561,10.2635619663,-0.128942659531,-0.754624693945,-0.0522729736133,12.6751994661,-0.17677111019,-0.447059069607,0.936191656449,6.60626163253,-0.167688370384,-0.643259111471,3.60182768186,6.28336705056
0.2,0.0534505471235,-0.0354223205861,-2.65837594389,1.5924761516,-0.173429346244,-0.234750511968,-1.4077128763,4.89572156568,0.130250302692,-0.557219337243,-1.00464132108,10.6851226577,-0.147791822188,-0.75200651316,0.260076223101,12.2791013636,-0.187638311574,-0.421668420445,1.09182469796,5.8300189126,-0.182629428647,-0.551492304351,3.72980138978,3.95247373327
0.225,0.0517393007973,-0.101239192225,-2.60123199809,2.97006429505,-0.179724832022,-0.268343847688,-1.2770738845,5.53875048977,0.116033881265,-0.578967431954,-0.734255873989,10.9131853261,-0.166479082445,-0.741724073655,0.560053931094,11.6877622715,-0.197824186606,-0.392638023884,1.22705050155,4.97677378955,-0.195242396579,-0.457254557195,3.79955426455,1.63389518653
0.25,0.0484040391722,-0.16520325787,-2.51042997588,4.28083652935,-0.186817718424,-0.298480953979,-1.13165335778,6.07649894767,0.101358719691,-0.593904965663,-0.460610220422,10.9460136741,-0.184817198922,-0.72414614355,0.8429671284,10.9168836528,-0.207244307138,-0.360500156501,1.34018148265,4.06573431218,-0.205483630774,-0.361992454322,3.81200324969,-0.623902160894
0.275,0.0435014100344,-0.226496578205,-2.38795427232,5.49998925616,-0.194617261149,-0.324826219289,-0.97420391211,6.49973742677,0.0863955932432,-0.602011284078,-0.188561515729,10.7862256646,-0.202629572593,-0.699753507447,1.104563164,9.98592042038,-0.215828028522,-0.325823162957,1.4300240468,3.1171324108,-0.213345240838,-0.267114702336,3.76925278425,-2.77457129459
0.3,0.0371078262444,-0.284358362894,-2.23638336162,6.60488984032,-0.203025208177,-0.347115465056,-0.807676720242,6.80183954319,0.0713142853152,-0.603385895533,0.0771521783126,10.4407079337,-0.219752900105,-0.66912683224,1.34111774191,8.91759897379,-0.223519234594,-0.289198836313,1.49589816424,2.15173928912,-0.218853777585,-0.173963219777,3.6745281201,-4.77496881817
0.325,0.0293178573605,-0.338099089297,-2.05882900261,7.57558835753,-0.211937640756,-0.365160079917,-0.635154551692,6.97892180702,0.0562806315837,-0.598244176641,0.332016472064,9.92042801803,-0.236039497555,-0.632932492237,1.54950987406,7.73735881486,-0.230276762307,-0.251229461865,1.53764466808,1.19036991502,-0.222068222103,-0.0837862247408,3.53208251074,-6.58615678518
