s,q1,dq1,d2q1,d3q1,q2,dq2,d2q2,d3q2,q3,dq3,d2q3,d3q3,q4,dq4,d2q4,d3q4,q5,dq5,d2q5,d3q5,q6,dq6,d2q6,d3q6
0,-0.011,0.595976319085,-1.38460607075,-11.2032616525,-0.139,0.208442986548,-1.46105176408,-3.772143044,0.189,0.000249600054554,-2.48661750932,0.138774027118,0.011,-0.388795098083,-2.74567470875,7.72162309051,-0.111,-0.412449519738,-0.938933854638,7.45951567028,0.011,-1.07580029416,0.0744242784402,18.7328279546
0.025,0.00343800900183,0.557935661812,-1.65542283627,-10.4298230098,-0.134254817176,0.170819833144,-1.54546112308,-2.97094989397,0.188230426155,-0.0617297029568,-2.46603185251,1.50509396688,0.000443163761585,-0.454871769136,-2.53453278783,9.14344518778,-0.121584979734,-0.433552570763,-0.747879963803,7.80268813539,-0.0158232653697,-1.0681351416,0.536486075748,18.1806366967
0.05,0.0168425094586,0.513386035673,-1.90455051382,-9.47091743449,-0.130474469017,0.131342440051,-1.60918277099,-2.11981453383,0.185921345714,-0.122769955764,-2.41162407237,2.84008714556,-0.0116960109148,-0.515242698698,-2.28992778976,10.394355944,-0.132637024695,-0.449785971672,-0.549923829314,8.01103399581,-0.0423121445105,-1.04912273718,0.980953644119,17.3283657208
0.075,0.0290580265794,0.462925782078,-2.1275778726,-8.34523519961,-0.127698727181,0.0905419009981,-1.65117384818,-1.23534253449,0.182106705471,-0.182038156878,-2.32450775213,4.11749435505,-0.0252648846864,-0.569127310324,-2.01643909977,11.4505212933,-0.144032589983,-0.461019635009,-0.348473232804,8.08208425362,-0.0681892229342,-1.01929462326,1.40058213706,16.1976264392
0.1,0.0399453714466,0.407257285063,-2.32060814376,-7.07516361755,-0.125953803865,0.0489701083729,-1.67081625843,-0.334844045933,0.176840861638,-0.238737226072,-2.20643741595,5.31239822526,-0.040092794146,-0.615866513069,-1.71918775689,12.292525141,-0.155645947916,-0.467209126065,-0.14696006122,8.01638089462,-0.0931925784601,-0.979356075007,1.78874255022,14.8159732922
0.125,0.0493840720058,0.347173006256,-2.48034513874,-5.6862686559,-0.125251966158,0.00718895516886,-1.66792932459,0.564064886377,0.170197485394,-0.292121547838,-2.05976773466,6.40179647192,-0.0559942464149,-0.654934813732,-1.40372030266,12.9058068221,-0.167351329042,-0.468395325561,0.0512347739411,7.81744941521,-0.117079917022,-0.93016891412,2.13956211525,13.2162270426
0.15,0.0572744294196,0.283539537131,-2.6041654303,-4.20670060658,-0.125591423252,-0.0342406538893,-1.64277236938,1.44386799026,0.162268094061,-0.341511320347,-1.887398953,7.3651287064,-0.0727723791793,-0.685949400565,-1.0758831366,13.2809815783,-0.179025031379,-0.464702231359,0.242854838431,7.49170025153,-0.139632236791,-0.87273103765,2.44804618749,11.4356740188
0.175,0.0635391547622,0.217280039287,-2.69017487452,-2.66653822573,-0.126956488126,-0.0747697290093,-1.59603716957,2.287551605,0.153160241945,-0.386305381304,-1.69270986105,8.18474407977,-0.0902226078007,-0.708675998528,-0.74169040486,13.4140364,-0.190547452025,-0.456332960653,0.424838348323,7.04826161077,-0.16065694459,-0.808153161221,2.71017876604,9.51516097782
0.2,0.068124550799,0.149355481796,-2.73724813167,-1.09708726405,-0.129318008995,-0.113871808518,-1.52883047609,3.07899494528,0.142995412653,-0.425992219019,-1.47947993331,8.84629848425,-0.108136377097,-0.723031373956,-0.407188602037,13.3063966252,-0.201804997374,-0.44356405692,0.594383348188,6.49874787829,-0.179990361886,-0.737633341303,2.92299930974,7.49810779642
0.225,0.0710012141974,0.0807451131845,-2.74505025669,0.469849581581,-0.132634059619,-0.151053015149,-1.44264703369,3.80333835798,0.131906661452,-0.460158920931,-1.25180251975,9.33907176239,-0.12630493334,-0.729082447056,-0.0783211419012,12.9648618565,-0.212691831282,-0.426738246063,0.749006352433,5.85696934516,-0.197499572453,-0.662429892292,3.08465409371,5.42946218648
0.25,0.0721642447031,0.0124266233789,-2.71403986549,2.00271357035,-0.136850871655,-0.185861325734,-1.33933376237,4.44732068114,0.120036061802,-0.488497861731,-1.01399118765,9.65619733498,-0.144523031994,-0.727042052229,0.239203851286,12.4014129509,-0.223111424599,-0.406255822806,0.886593069684,5.13859043017,-0.213083579655,-0.583833350391,3.19442097447,3.35462202628
0.275,0.071632959303,-0.0546435422398,-2.64545383031,3.47092369048,-0.141903986697,-0.217894843873,-1.22104597688,4.99957757394,0.107532014506,-0.510810987854,-0.770481476678,9.79479880548,-0.162592498731,-0.71726146656,0.540039362527,11.6328949949,-0.232977874433,-0.382564880498,1.0054400255,4.36074482249,-0.226673757912,-0.503138156447,3.25270708287,1.31835166417
0.3,0.0694501209205,-0.119549259007,-2.54127390583,4.84558550173,-0.147719600706,-0.246808889497,-1.09019671153,5.45089364589,0.0945464807343,-0.527011613119,-0.525730436927,9.75603037717,-0.18032556525,-0.70021990423,0.819315909704,10.6805842037,-0.242216967171,-0.35615062438,1.1042861229,3.54161701625,-0.238233599761,-0.421614733676,3.26101962522,-0.636281331926
0.325,0.0656807024578,-0.18143274723,-2.40417612575,6.10015786595,-0.154216069215,-0.272321748068,-0.949400383492,5.79440234763,0.0812322015944,-0.537123700302,-0.284116369805,9.54502027563,-0.197547907259,-0.676511246954,1.07274579824,9.56964952572,-0.250766965588,-0.327524029316,1.18233342754,2.70000052001,-0.247757776735,-0.340482623465,3.22191062996,-2.4689230387
0.35,0.0604102177464,-0.239511128673,-2.23746422691,7.21106142412,-0.161305538184,-0.294218954718,-0.801412162803,6.025728868,0.0677399667871,-0.541278663921,-0.0498411819289,9.17071874302,-0.214101319617,-0.64682834626,1.29671273618,8.32852229487,-0.258579107052,-0.297210117539,1.23925672913,1.85484358252,-0.255270548513,-0.26088531348,3.13889711229,-4.14287888565
0.375,0.0537426609309,-0.293091135727,-2.04498874469,8.1582141153,-0.168895662669,-0.312356024202,-0.649064518794,6.14307268018,0.0542159932469,-0.539709789037,0.173162306256,8.64565450589,-0.229845972715,-0.611945290762,1.48834470156,6.98818952085,-0.265617806876,-0.265736139752,1.2752017058,1.0247935683,-0.260823570116,-0.18386734797,3.01635872708,-5.62596521634
0.4,0.0457981047464,-0.341581639251,-1.83105376887,8.92548082879,-0.17689137374,-0.326659575168,-0.495202478421,6.14722785962,0.0407994715894,-0.532744417951,0.381315881174,7.98560585558,-0.244662204649,-0.572698079201,1.64556836738,5.58142825729,-0.271860567959,-0.233619943779,1.29077179726,0.227751134509,-0.264493161003,-0.110354251398,2.85941552764,-6.89124605492
0.425,0.0367100158496,-0.384503714613,-1.60031364645,9.50102639433,-0.185196653259,-0.337126836066,-0.342619159763,6.0415408214,0.0276203337068,-0.520794109951,0.571472250113,7.20919456648,-0.258451815245,-0.529964176802,1.76714384478,4.14199991777,-0.277297604885,-0.201358808818,1.28700416888,-0.519554895455,-0.266377112284,-0.0411357249621,2.67378892883,-7.91763727982
0.45,0.0266223516303,-0.421498025739,-1.35766215819,9.87756349152,-0.193716276316,-0.343823559044,-0.193993133624,5.83180665788,0.0147972891155,-0.50434302737,0.740980342141,6.33741275929,-0.271138840237,-0.48464145746,1.85267898925,2.70382436916,-0.281931197484,-0.169419010479,1.26533541505,-1.20196159011,-0.266591118784,0.0231475071442,2.46564937812,-8.69036369187
0.475,0.0156865076298,-0.45232937255,-1.10811687461,10.0524896425,-0.202357482241,-0.34688040648,-0.0518291177657,5.52610676001,0.00243617078697,-0.483934843078,0.887738063176,5.39309444967,-0.282669796691,-0.437627046888,1.90262301773,1.30015410563,-0.285774795241,-0.138226362379,1.22755790035,-1.80622530686,-0.265264930947,0.082012916638,2.24145455595,-9.20125810537
0.5,0.00405818769335,-0.47688831631,-0.85670150893,10.0279101762,-0.21103153721,-0.346487911434,0.0815965769099,5.1345918422,-0.00937137662757,-0.460158498972,1.01023128345,4.40034486574,-0.293013403648,-0.389796581813,1.91823969269,-0.0372312199599,-0.288851899769,-0.108157954725,1.17576786463,-2.32132584908,-0.26253832751,0.135141268643,2.00778215037,-9.44889549637
0.525,-0.00810572975964,-0.495189868563,-0.608329127378,9.81054685257,-0.219655154405,-0.342890147321,0.204284548854,4.66921582407,-0.0205488418595,-0.433633171442,1.10755817609,3.38394163842,-0.302159794694,-0.341984387599,1.90156083048,-1.27879015623,-0.291194757729,-0.0795352796028,1.11230661759,-2.73871402927,-0.258557013231,0.182377514086,1.77116137407,-9.43855931787
