s,q1,dq1,d2q1,d3q1,q2,dq2,d2q2,d3q2,q3,dq3,d2q3,d3q3,q4,dq4,d2q4,d3q4,q5,dq5,d2q5,d3q5,q6,dq6,d2q6,d3q6
0,0.005,0.124066419921,-2.7257353572,-4.55750727897,-0.155,-0.151654307099,-1.65893167655,1.46302547962,0.205,-0.491804558102,-1.80529082318,7.58190040234,-0.005,-0.823678104311,-0.845294723592,14.2196380662,-0.095,-0.502449600379,0.545676392105,8.42126247324,-0.005,-0.825430268047,3.26005448065,13.6795762101
0.025,0.00723892797024,0.0546478671224,-2.82168323757,-3.10222286976,-0.159305379221,-0.192576934009,-1.61115557757,2.35622794122,0.192161160349,-0.534458812188,-1.6028303831,8.5941419419,-0.025818736791,-0.840313677008,-0.483677294672,14.6691858074,-0.107368980999,-0.486207988948,0.752234131794,8.08095780107,-0.0245825725602,-0.73984820968,3.57852870932,11.7646585157
0.05,0.00771625738365,-0.0167052883326,-2.88016092573,-1.56473833161,-0.164616581389,-0.232028260153,-1.54133489054,3.22369160623,0.178321785431,-0.57174874928,-1.37670680529,9.47170896955,-0.0469393463385,-0.847793905389,-0.113898172691,14.871384943,-0.11926834518,-0.464922588312,0.948635164079,7.61005236454,-0.0419311837705,-0.646922747748,3.84676665887,9.66737909508
0.075,0.00639552749351,-0.0890336821853,-2.89948465554,0.024960234048,-0.170890013341,-0.269467013149,-1.4503283386,4.04830205257,0.163623014906,-0.603126825996,-1.130517717,10.1966511266,-0.0681310425771,-0.845992644746,0.257792467527,14.821829524,-0.130575506348,-0.438887228265,1.13172537873,7.01786857268,-0.0568783956183,-0.547962493172,4.06072697519,7.42971242981
0.1,0.00326470871739,-0.161345387857,-2.87873891845,1.63551667068,-0.17806886256,-0.304378660597,-1.33941293757,4.81377485928,0.148218508062,-0.628140719441,-0.868269536285,10.7542792592,-0.0891618469099,-0.834940810501,0.625102889081,14.5216071455,-0.141176183713,-0.408471403103,1.29861647443,6.31630754226,-0.0692906369233,-0.444363650047,4.21745545802,5.09648772156
0.125,-0.00166322648696,-0.232635476287,-2.81780171723,3.2349288468,-0.186083893978,-0.336285568228,-1.21025849416,5.50503179701,0.132271944287,-0.646442490085,-0.594291494062,11.1335076233,-0.109802513385,-0.814825699818,0.981837080376,13.9772729843,-0.150966203884,-0.374112847852,1.44674709058,5.5195725784,-0.0790700466633,-0.337582051645,4.31514353526,2.71434836353
0.15,-0.00835022773351,-0.301905978635,-2.71735147156,4.79128945836,-0.194854491808,-0.364756405644,-1.06489303305,6.10854885918,0.115954322174,-0.657795496969,-0.313142155025,11.3271105459,-0.129830394163,-0.785986902762,1.32202976022,13.2006935508,-0.15985309893,-0.336308678447,1.57393633228,4.64383837866,-0.0861556026696,-0.229104064717,4.35316015335,0.330670062391
0.175,-0.0167335901135,-0.368185789782,-2.57885538131,6.27352560326,-0.20428992482,-0.389414582583,-0.905659963822,6.61266770755,0.0994411155684,-0.66207890515,-0.0295106584737,11.3318873225,-0.149033161063,-0.748908900473,1.64007588463,12.2087639712,-0.167757467112,-0.295605302209,1.6784284292,3.70687398897,-0.090523515795,-0.120417036873,4.33205637645,-2.007536161
0.2,-0.0267268696352,-0.430550051324,-2.40453950289,7.65211920161,-0.214290808362,-0.409945521445,-0.735167998562,7.00786299624,0.0829093481586,-0.659289682537,0.251884972417,11.1487313718,-0.167212302414,-0.704210526691,1.93085157361,11.0230057021,-0.174614068427,-0.252587333791,1.75892748477,2.72762866472,-0.0921868866854,-0.0129799713086,4.25354264858,-4.25470950906
0.225,-0.0382212720311,-0.488138564713,-2.1973412372,8.89979079785,-0.224750731879,-0.426102599323,-0.556235006493,7.28695911352,0.0665346500402,-0.649542042975,0.526400033803,10.782602003,-0.184186319765,-0.652631543549,2.18982358561,9.66905450027,-0.18037263329,-0.207865774892,1.81462151198,1.72579069019,-0.0911946393309,0.0918048940589,4.12043933513,-6.36778719772
