s,q1,dq1,d2q1,d3q1,q2,dq2,d2q2,d3q2,q3,dq3,d2q3,d3q3,q4,dq4,d2q4,d3q4,q5,dq5,d2q5,d3q5,q6,dq6,d2q6,d3q6
0,-0.007,0.305349178404,-2.37965190455,-6.87029394295,-0.143,-0.0230390775531,-1.82556571467,-0.499874542993,0.193,-0.340434475014,-2.1319358082,5.13644450511,0.007,-0.713984867758,-1.58083151235,12.1962626057,-0.107,-0.532482718568,0.0250270416248,9.41553128388,0.007,-0.979972331761,2.19568813468,15.8041138646
0.025,-0.00012702859627,0.243835520683,-2.53632240637,-5.6422821079,-0.144147107023,-0.0687286034976,-1.82534976895,0.518969048437,0.18383703539,-0.392007996447,-1.98924462494,6.26438136646,-0.0113113191841,-0.749607205178,-1.26568840317,12.9801028685,-0.120279777189,-0.528923488778,0.259192799719,9.29113076337,-0.0167728789201,-0.920283344499,2.57350332261,14.3819972318
0.05,0.00516241898643,0.178801402971,-2.66081176916,-4.29985051155,-0.146433727021,-0.114093735907,-1.79961121563,1.53853485493,0.173432201722,-0.439671366907,-1.81953043492,7.2947434553,-0.0304128122439,-0.777128313443,-0.933639332767,13.5465453472,-0.133397824194,-0.519565512778,0.488270375951,9.00926070082,-0.0389393181139,-0.851617031595,2.91296101154,12.7407949247
0.075,0.00879066968143,0.111084514432,-2.75057350354,-2.86851718733,-0.149843785736,-0.158498307755,-1.74858676998,2.53846380974,0.161891429808,-0.482781659899,-1.62548905213,8.20739767469,-0.0500972394228,-0.796194726434,-0.590263734697,13.8848420234,-0.146211168987,-0.504584625527,0.708396022241,8.57632289619,-0.059287420495,-0.774997380401,3.20899822775,10.9143376881
0.1,0.0107017205003,0.041577999115,-2.80372639661,-1.37588456861,-0.154345431575,-0.201318405697,-1.67301846508,3.49876787189,0.149335830304,-0.520769385114,-1.41028906741,8.9847275723,-0.0701502926775,-0.806595310114,-0.241348034345,13.9892126664,-0.158582423988,-0.484250908106,0.915907483569,8.00200261708,-0.0776323801218,-0.691563966043,3.45744663595,8.9402258236
0.125,0.010862411981,-0.0287867625822,-2.81909880515,0.148993060945,-0.159891498598,-0.241954838429,-1.57413855174,4.4002936308,0.13589971689,-0.553149477654,-1.17750374935,9.61203717634,-0.090354205622,-0.808264868565,0.107240379123,13.8589714418,-0.170382070839,-0.458922646544,1.10742333639,7.29903612708,-0.0938190830588,-0.602548497136,3.65511593501,6.8589488039
0.15,0.00926315900498,-0.0990582780083,-2.79625665976,1.67627751164,-0.166420275289,-0.279845084413,-1.45364303123,5.22516622928,0.121728377013,-0.579530465575,-0.931033697938,10.0778854575,-0.110491413988,-0.801284572361,0.449680832539,13.4985321824,-0.181490570008,-0.429038387562,1.27991559558,6.4829057415,-0.107724098159,-0.509249559244,3.79985436581,4.7129383481
0.175,0.00591822151468,-0.168283555293,-2.73551449553,3.17603387221,-0.17385656262,-0.314474442105,-1.31365444874,5.95720284487,0.106975638429,-0.599621607127,-0.675022089671,10.3743433505,-0.130348186959,-0.785879205982,0.780325659866,12.9172922643,-0.191800249933,-0.395107281412,1.43077386782,5.57146986579,-0.119257020026,-0.413006146707,3.89058495269,2.54557796699
0.2,0.000865508253797,-0.235526776697,-2.63792923565,4.61892030687,-0.182112998186,-0.345386124765,-1.15667483562,6.58228571233,0.0918012844189,-0.613237837377,-0.413764531611,10.497167158,-0.149718150608,-0.762411306681,1.09382210002,12.1293979933,-0.201216935691,-0.35769794259,1.55785953589,4.58453705682,-0.128361141537,-0.315170600608,3.92731668914,0.400193031103
0.225,-0.00583408259392,-0.299887602022,-2.50527687149,5.97686377146,-0.191091617068,-0.372190067191,-0.985529927021,7.08868565949,0.0763683739065,-0.620302416051,-0.151615670795,10.4458842035,-0.168405627393,-0.73137234116,1.38522690563,11.1533972975,-0.209661283397,-0.317426094071,1.65954870183,3.54339451012,-0.135013448957,-0.217081582822,3.91113048706,-1.68095412994
