s,q1,dq1,d2q1,d3q1,q2,dq2,d2q2,d3q2,q3,dq3,d2q3,d3q3,q4,dq4,d2q4,d3q4,q5,dq5,d2q5,d3q5,q6,dq6,d2q6,d3q6
0,0.005,-0.679592222448,-1.14970726758,8.42742577769,-0.155,-0.459461227774,0.059745299605,7.47761696836,0.205,-0.502978487823,1.36938520301,9.42806171509,-0.005,-0.311947423352,2.88747476801,8.10820222638,-0.095,0.0684162197235,2.19434131356,0.840976007621,-0.005,0.727644408703,3.91235133872,-9.02073459927
0.025,-0.0123264559296,-0.705591993102,-0.926009837304,9.45049653838,-0.166448192434,-0.455600292436,0.250223702599,7.74006832468,0.19287779094,-0.465835578252,1.60035372494,9.0215988677,-0.0118760638472,-0.237360288564,3.07398177211,6.78516149463,-0.092602427318,0.123416652436,2.20082206519,-0.327743429588,0.0143888375101,0.822412251565,3.66032049175,-11.1213826773
0.05,-0.0302304094637,-0.72569143125,-0.678178581063,10.3541054329,-0.177739735023,-0.446908464503,0.445685081881,7.87497559589,0.181755165686,-0.423062746661,1.81909329769,8.45063769962,-0.0168327144679,-0.158540310527,3.225472118,5.31095495059,-0.0888308795655,0.178211207788,2.17778819962,-1.51635382075,0.036062725864,0.910236659684,3.35747053748,-13.079521062
0.075,-0.0485571369839,-0.739326976951,-0.409491925754,11.1153251117,-0.188752635052,-0.433301753586,0.642856607701,7.87607565628,0.171768626322,-0.375016469341,2.02157365269,7.72236069282,-0.0197754507339,-0.0764075009235,3.33848749904,3.71180758184,-0.0836997637264,0.232058217727,2.12503250766,-2.70158396819,0.059832595295,0.989895826594,3.00785744999,-14.8562184411
0.1,-0.0671389083634,-0.746023916892,-0.123767452955,11.7140403305,-0.199363837237,-0.414779646315,0.838345137326,7.74002961622,0.163044524626,-0.322151359309,2.20398896248,6.84751097248,-0.0206337821354,0.00804019910591,3.41026453892,2.01698487436,-0.0772420324492,0.284218133432,2.04293226298,-3.86003654828,0.0854801975756,1.06028115871,2.61646727636,-16.4161442115
0.125,-0.0857973689536,-0.745408930142,0.174714849691,12.1334517104,-0.209451340558,-0.391427187797,1.02871175254,7.46652545502,0.155696687927,-0.265013463334,2.36284427827,5.84017210102,-0.0193629523488,0.0937451755597,3.43880271525,0.258134535751,-0.0695089484386,0.333968120461,1.93244561523,-4.96872855253,0.11276121706,1.12041931428,2.18911569813,-17.7283865392
0.15,-0.104346209967,-0.737220565532,0.481300987424,12.3605020759,-0.218896343602,-0.363415175044,1.21054796198,7.0583082809,0.149824238937,-0.204231475402,2.49503544206,4.71746727605,-0.0159451869194,0.179609884001,3.42291505647,-1.53143060238,-0.0605694865008,0.380616395403,1.79509455365,-6.00562303767,0.141408899246,1.16949148601,1.7323283916,-18.7671672787
0.175,-0.122594072114,-0.721317384751,0.7910609357,12.3862147973,-0.227585370914,-0.33099844353,1.38055174427,6.52113733379,0.145509659374,-0.140506054227,2.5979205435,3.49918505519,-0.0103904334391,0.264517630517,3.36226035464,-3.31749122882,-0.0505093838683,0.423515972359,1.63293482016,-6.95013930183,0.171138122229,1.20684948141,1.25320498772,-19.5124364349
0.2,-0.140347621382,-0.697683560115,1.09889388587,12.2059356996,-0.235412332891,-0.294512273673,1.5356016081,5.86367063787,0.142817141964,-0.0745974782913,2.66938119266,2.20734053202,-0.00273657412708,0.347353918014,3.25735608274,-5.06570344359,-0.0394298575751,0.462077501051,1.44851346722,-7.78362912464,0.20164982619,1.23202823008,0.759269829348,-19.9503317773
0.225,-0.157414731302,-0.666431776165,1.39963826725,11.8194724551,-0.242280473051,-0.254366989225,1.67282689023,5.09727998117,0.141791269034,-0.0073119121087,2.70787212335,0.865682469595,0.00695089723957,0.427027870156,3.10957167039,-6.7423850168,-0.0274460153542,0.495780899494,1.24481505513,-8.48980753288,0.232635707821,1.24475443121,0.258313043028,-20.0734924986
0.25,-0.17360770308,-0.627803348131,1.6881839325,11.2311278735,-0.248104158815,-0.211040862952,1.78967260115,4.23580060414,0.142456048636,0.0605134088472,2.71245792126,-0.500841775812,0.0185797298518,0.50249324252,2.92110226658,-8.31528702128,-0.0146849936187,0.524185512559,1.02519775865,-9.05512765996,0.263783080558,1.24495114579,-0.2417743237,-19.8812193676
0.275,-0.188746453618,-0.582165536527,1.9595838359,10.449626093,-0.252810475363,-0.165071485757,1.88395725739,3.29522157781,0.144814331111,0.12802574081,2.68283598075,-1.86665067175,0.032032285482,0.572768539673,2.69492358931,-9.75433219495,-0.00128386238245,0.546938562602,0.793320896981,-9.46909063007,0.294779797785,1.23273823342,-0.733167206305,-19.37947756
0.3,-0.202661601757,-0.53000610391,2.20916254178,9.4879332933,-0.256340586481,-0.117045792358,1.95392230807,2.29332430381,0.148847620408,0.194372789923,2.61934512548,-3.20610867717,0.0471673950227,0.636955777621,2.43472891893,-11.0323021954,0.012612657679,0.563781698885,0.553065608534,-9.72448298262,0.325319134889,1.20842863219,-1.20827152771,-18.5807421879
0.325,-0.215197385066,-0.471925225652,2.43261897346,8.36297712502,-0.258650831575,-0.0675889690198,1.9982719648,1.24927783919,0.154516285542,0.258718704111,2.52295967349,-4.49410818136,0.0638226626472,0.694257462968,2.14484972345,-12.1254571533,0.0268546165436,0.57455549768,0.308450557398,-9.81753592083,0.355104527263,1.17252057775,-1.65988341085,-17.5036903777
0.35,-0.22621434309,-0.408624929721,2.62612094877,7.09527152553,-0.259713534021,-0.0173524957339,2.01620247584,0.18320080603,0.161760168479,0.320259735623,2.39526907777,-5.7066391891,0.0818171680832,0.743991402335,1.83016179885,-13.0140725806,0.0412893419582,0.579201813741,0.0635446774541,-9.74800257658,0.38385406492,1.1256859538,-2.08133885031,-16.1727474837
0.375,-0.235591708072,-0.340896299498,2.78638924469,5.70845590313,-0.259517502562,0.0329984038833,2.00742013974,-0.884299536177,0.170499575756,0.378239218932,2.23844362161,-6.82133302354,0.100954508452,0.785603007151,1.49597915678,-13.6828807089,0.0557639779261,0.577763934938,-0.177620969357,-9.51915148467,0.411304650375,1.06875505689,-2.46665032845,-14.6174985722
0.4,-0.243229450742,-0.269604727068,2.91076918442,4.22875976324,-0.258068214546,0.0827976174817,1.97214762599,-1.93259991805,0.180636632435,0.431961524844,2.05518698325,-7.81796695216,0.121026113485,0.818674818533,1.14793818631,-14.1214056609,0.0701279995875,0.570384544117,-0.41114012461,-9.13767650495,0.437215734565,1.00269814278,-2.81062718139,-12.8719795893
0.425,-0.249049936494,-0.19567355091,2.99728804088,2.68440567102,-0.255387677046,0.131391008861,1.91111845255,-2.94153396474,0.192056968801,0.480804676061,1.84867680116,-8.67891759466,0.141814761862,0.84293304318,0.791874849773,-14.3241844569,0.0842356502688,0.557301544374,-0.633314990231,-8.61352546955,0.461372555735,0.928604196259,-3.10897691811,-10.9738655437
0.45,-0.252999156156,-0.120066450393,3.04469689202,1.10496495075,-0.251513969307,0.178148997875,1.82555975662,-3.89185394794,0.204631702738,0.524231341386,1.62249465917,-9.38955222316,0.163098222078,0.858250962442,0.433697837726,-14.2908686394,0.0979482485181,0.538841854615,-0.840734627955,-7.95965181457,0.483588818069,0.847657430935,-3.35838516099,-8.96357553255
0.475,-0.255047505248,-0.0437689989495,3.052495939,-0.479318325512,-0.246500477275,0.222478567349,1.71716377758,-4.76567023025,0.218219674101,0.561797964507,1.38054716483,-9.93854858243,0.184652938701,0.864649151148,0.0792607026814,-14.0262042175,0.111136316225,0.515413330304,-1.03034624893,-7.19169533316,0.503708760226,0.761112077197,-3.55657239825,-6.88331644712
